"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Wapsipinicon Wind Project","Wapsipinicon Wind Project","Wapsipinicon Wind","Definition:Commercial Scale Wind",EnXco,EnXco,SMMPA,"Mower County MN","100.5 MW",67,2008,"GE Energy","In Service","43.686389°, -92.615275°"
"Watauga High School Wind Project","Watauga High School Wind Project","Watauga High School","Definition:Community Wind",,,,NC,,1,,SkyStream,,"36.199196°, -81.674736°"
"Wausau High School","Wausau High School","Wausau High School","Definition:Small Scale Wind",,,,"Wausau WI","0.1 MW",1,2009,"Northern Power Systems","In Service","44.97944687°, -89.59666014°"
"Waverly III Wind Farm","Waverly III Wind Farm","Waverly III","Definition:Commercial Scale Wind","Waverly Light & Power","Waverly Light & Power","Waverly Light & Power","Waverly IA","0.9 MW",1,2001,"NEG Micon","In Service","42.7241°, -92.4786°"
"Waverly Wind Farm","Waverly Wind Farm",Waverly,"Definition:Commercial Scale Wind","Waverly Light & Power","GE Energy","Waverly Light & Power","Waverly IA","1.5 MW",2,1999,Zond,"In Service","42.7241°, -92.4786°"
"Waymart Wind Farm","Waymart Wind Farm","Waymart Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",Exelon,"Wayne County PA","64.5 MW",43,2003,"GE Energy","In Service","41.555385°, -75.451205°"
"We Energy Wind Farm","We Energy Wind Farm","We Energy Wind Farm","Definition:Commercial Scale Wind",,,"WE Energies","South of Fond du Lac WI","1.32 MW",2,1999,Vestas,"In Service","43.657512°, -88.439004°"
"Weatherford Wind Energy Center","Weatherford Wind Energy Center","Weatherford Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","American Electric Power Co., Inc.","Weatherford OK","147 MW",98,2005,"GE Energy","In Service","35.559414°, -98.742992°"
"Wege Wind Farm","Wege Wind Farm","Wege Wind Farm","Definition:Commercial Scale Wind","John Deere Wind","Steelcase and John Deere Wind","Southwestern Public Service","Panhandle TX","10 MW",8,2008,"Suzlon Energy Company","In Service","35.346439°, -101.381375°"
"Wellington Middle School Wind Project","Wellington Middle School Wind Project","Wellington Middle School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"40.708813°, -105.001572°"
"Wessington Springs Wind Farm","Wessington Springs Wind Farm","Wessington Springs Wind Energy Center","Definition:Commercial Scale Wind","Babcock & Brown","Babcock & Brown","Heartland Consumers Power District","Southwest of Wessington Springs SD","51 MW",34,2009,"GE Energy","In Service","43.947387°, -98.657427°"
"Wessington Springs Wind Project","Wessington Springs Wind Project","Wessington Springs","Definition:Community Wind",,,,SD,,1,,SkyStream,,"44.081932°, -98.559685°"
"West Central School Corp","West Central School Corp","West Central School Corp","Definition:Community Wind","West Central School Corp","Performance Services",Net-metered,"Francesville IN","0.9 MW",1,2012,PowerWind,"In Service","41.02886641°, -86.89028978°"
"West Holt Wind Project","West Holt Wind Project","West Holt","Definition:Community Wind",,,,NE,,1,,SkyStream,,"42.540997°, -98.978706°"
"West Stevens Wind","West Stevens Wind","West Stevens Wind","Definition:Commercial Scale Wind",,"West Stevens Wind",,"3 miles northwest of Chokio MN","20 MW",13,,,"Under Construction","45.606472°, -96.238174°"
"West Winds Wind Farm","West Winds Wind Farm","West Winds","Definition:Commercial Scale Wind",Caithness,SeaWest,"Southern California Edison/PacifiCorp","San Gorgonio CA","43.4 MW",62,1999,"NEG Micon","In Service","33.9095°, -116.734°"
"Western Illinois University Wind Project","Western Illinois University Wind Project","Western Illinois University","Definition:Community Wind",,,,IL,,1,,SkyStream,,
"Westridge Wind Farm","Westridge Wind Farm",Westridge,"Definition:Commercial Scale Wind","Edison Mission Group","Farmers' cooperatives with Dan Juhl","Xcel Energy/Great River Energy","Various MN","17.1 MW",18,2003,"Suzlon Energy Company","In Service","44.115854°, -96.115186°"
"Westwind Trust Wind Farm","Westwind Trust Wind Farm","Westwind Trust","Definition:Commercial Scale Wind",,,"Southern California Edison Co","San Gorgonio CA","15.7 MW",167,,Various,"In Service","33.9095°, -116.734°"
"Westwind-PacifiCorp Wind Farm","Westwind-PacifiCorp Wind Farm",Westwind-PacifiCorp,"Definition:Commercial Scale Wind",PacifiCorp,SeaWest,"Southern California Edison/PacifiCorp","San Gorgonio CA","1.5 MW",2,1999,"NEG Micon","In Service","33.9095°, -116.734°"
"Wethersfield Wind Power Wind Farm","Wethersfield Wind Power Wind Farm","Wethersfield Wind Power","Definition:Commercial Scale Wind","Enel North America","Western NY Wind Power Partners","Niagara Mohawk","WY County NY","6.6 MW",10,2000,Vestas,"In Service","42.667741°, -78.219803°"
"Wheatfield Wind Farm","Wheatfield Wind Farm","Wheatfield Wind Farm","Definition:Commercial Scale Wind",Horizon,Horizon,"Snohomish County Public Utility District","Gilliam County west of Arlington OR","96.6 MW",46,2009,"Suzlon Energy Company","In Service","45.700074°, -120.271289°"
"Whirlwind Wind Farm","Whirlwind Wind Farm","Whirlwind Energy Center","Definition:Commercial Scale Wind",,"RES America","Austin Energy","East of Floydada TX","59.8 MW",26,2007,Siemens,"In Service","34.110142°, -101.098967°"
"Whispering Willow I Wind Farm","Whispering Willow I Wind Farm","Whispering Willow I","Definition:Commercial Scale Wind","Alliant (IP&L)","Alliant (IP&L)","Alliant (IP&L)","Franklin County IA","199.65 MW",121,2009,Vestas,"In Service","42.653045°, -93.31162°"
"White Creek Wind Power Project","White Creek Wind Power Project","White Creek Wind Power Project","Definition:Commercial Scale Wind","Last Mile Electric Cooperative","Last Mile Electric Cooperative","Last Mile Electric Cooperative","Klickitat County","204.7 MW",89,2007,Siemens,"In Service","45.853153°, -120.289578°"
"White Oak Wind Energy Center","White Oak Wind Energy Center","White Oak Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources",Invenergy,TVA,"Northwest of Bloomington near Carlock IL","150 MW",100,2011,"GE Energy","In Service","40.593859°, -89.062607°"
"White Tail","White Tail","White Tail","Definition:Commercial Scale Wind","Exelon Wind","MAP Royalty","Austin Energy","Oilton TX","91 MW",57,2012,"GE Energy","In Service","27.490513°, -98.985926°"
"Whitewater Hill Wind Farm I","Whitewater Hill Wind Farm I","Whitewater Hill","Definition:Commercial Scale Wind",,"Cannon Power Corp.","L.A. Department of Water Resources","San Gorgonio CA","61.5 MW",41,2002,"GE Energy","In Service","33.9095°, -116.734°"
"Whitewater Hill Wind Farm II","Whitewater Hill Wind Farm II","Whitewater Hill","Definition:Community Wind","Cannon Power Corp.","Cannon Power Corp.","Los Angeles Department of Water Resources/SDG&E","San Gorgonio CA","4.5 MW",3,2003,"GE Energy","In Service","33.9095°, -116.734°"
"Wild Horse II Wind Farm","Wild Horse II Wind Farm","Wild Horse II","Definition:Commercial Scale Wind","Puget Sound Energy","Puget Sound Energy","Puget Sound Energy","Kittitas County","44 MW",22,2009,Vestas,"In Service","47.000782°, -120.190609°"
"Wild Horse Wind Power Project","Wild Horse Wind Power Project","Wild Horse Wind Power Project","Definition:Commercial Scale Wind","Puget Sound Energy","Horizon Wind Energy","Puget Sound Energy","Kittitas County","228.6 MW",127,2006,Vestas,"In Service","47.000782°, -120.190609°"
"Wildcat 1 Wind Project","Wildcat 1 Wind Project","Wildcat 1 Wind Project","Definition:Commercial Scale Wind","E.ON Climate & Renewables North America","E.ON Climate & Renewables North America","Indiana Michigan Power","North of Elwood IN","200 MW",125,2012,"GE Energy","In Service","40.371025°, -85.823836°"
"Wildcat Ridge Wind Farm","Wildcat Ridge Wind Farm","Wildcat Ridge Wind Farm","Definition:Offshore Wind","Midwest Wind Energy","Midwest Wind Energy",,"Banner County NE","1,500 MW",100,,Undetermined,Proposed,"41.60734°, -103.679523°"
"Wildcat Wind Project","Wildcat Wind Project","Wildcat Wind Project","Definition:Commercial Scale Wind","Exelon Wind","Kairos Energy",,"Lovington NM","27.3 MW",13,2012,"Suzlon Energy Company","In Service","32.95063128°, -103.2771492°"
"Wildorado Wind Farm","Wildorado Wind Farm","Wildorado Wind Ranch","Definition:Commercial Scale Wind","Edison Mission Group","Cielo Wind Power","Xcel Energy","Oldham TX","161 MW",70,2007,Siemens,"In Service","35.302005°, -102.314005°"
"Williams Elementary and Middle School Wind Project","Williams Elementary and Middle School Wind Project","Williams Elementary and Middle School","Definition:Community Wind",,,,AZ,,1,,SkyStream,,"35.253555°, -112.19558°"
"Williams Stone Wind Turbine","Williams Stone Wind Turbine","Williams Stone Wind Turbine","Definition:Community Wind","Williams Stone","Sustainable Energy Developments","Williams Stone","Otis MA","0.6 MW",1,2009,Vestas,"In Service","42.232526°, -73.070952°"
"Willmar Wind","Willmar Wind","Willmar Wind","Definition:Commercial Scale Wind","Willmar Municipal Utilities","Willmar Municipal Utilities","Willmar Municipal Utilities","Willmar MN","4 MW",2,2009,DeWind,"In Service","45.158659°, -95.007498°"
"Willow Creek Wind Farm","Willow Creek Wind Farm","Willow Creek","Definition:Commercial Scale Wind",Invenergy,Invenergy,,"Morrow County OR","70 MW",35,2009,"GE Energy","In Service","45.828458°, -119.795537°"
"Wilmont Hills Wind Farm","Wilmont Hills Wind Farm","Wilmont Hills","Definition:Commercial Scale Wind","Northern Alternative Energy","Northern Alternative Energy","Alliant Energy","Nobles County MN","1.5 MW",1,2001,"NEG Micon","In Service","43.761108°, -95.8276°"
"Wilton Wind Energy Center I (2005)","Wilton Wind Energy Center I (2005)","Wilton Wind Energy Center I","Definition:Commercial Scale Wind","NextEra Energy Resources","Florida Power & Light Co.","Basin Electric","Wilton ND","49.5 MW",33,2006,"GE Energy","In Service","47.128392°, -100.739837°"
"Wilton Wind Energy Center I (2006)","Wilton Wind Energy Center I (2006)","Wilton Wind Energy Center I","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","Burleigh County ND","49.5 MW",33,2006,"GE Energy","In Service","47.142638°, -100.730567°"
"Wilton Wind Energy Center II I","Wilton Wind Energy Center II I","Wilton Wind Energy Center II","Definition:Commercial Scale Wind","NextEra Energy Resources","Florida Power & Light Co.","Basin Electric","Wilton ND","49.5 MW",33,2009,"GE Energy","In Service","47.128392°, -100.739837°"
"Wilton Wind Energy Center II II","Wilton Wind Energy Center II II","Wilton Wind Energy Center II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","Burleigh County ND","49.5 MW",33,2009,"GE Energy","In Service","47.142638°, -100.730567°"
"Wind Power Partners '90-'92 Wind Farm","Wind Power Partners '90-'92 Wind Farm","Wind Power Partners '90-'92","Definition:Commercial Scale Wind","NextEra Energy Resources",Kenetech,"Pacific Gas & Electric Co","Altamont Pass CA","96.7 MW",967,1992,Kenetech,"In Service","37.7347°, -121.652°"
"Wind Power Partners '94 Wind Farm","Wind Power Partners '94 Wind Farm","Wind Power Partners '94","Definition:Commercial Scale Wind","NextEra Energy Resources","Kenetech Wind Power","Lower Colorado River Authority","Culberson County TX","39.78 MW",109,1994,Kenetech,"In Service","31.3508°, -104.443°"
"Wind Turbine Co. test","Wind Turbine Co. test","Wind Turbine Co. test","Definition:Commercial Scale Wind",,"Wind Turbine Co.","Southern California Edison Co","Los Angeles County CA","0.5 MW",1,2001,"Wind Turbine Co.","In Service","33.8003°, -118.309°"
"Wind Vision Wind Farm","Wind Vision Wind Farm","Wind Vision","Definition:Commercial Scale Wind","Wind Vision","Wind Vision",,"St. Ansgar IA","0.9 MW",1,2008,AWE,"In Service","43.348224°, -92.888816°"
"Wind Walkers","Wind Walkers","Wind Walkers","Definition:Commercial Scale Wind","5045 Wind Partners","5045 Wind Partners","Alliant Energy","Waukon IA","1.6 MW",1,2011,"GE Energy","In Service","43.2655101°, -91.4863848°"
"Windland (Boxcar II) Wind Farm","Windland (Boxcar II) Wind Farm","Windland (Boxcar II)","Definition:Commercial Scale Wind","Windland- Inc.","Windland- Inc.","Southern California Edison Co","Tehachapi CA","14.3 MW",111,,Various,"In Service","35.07665°, -118.25529°"
"Windridge Wind Farm","Windridge Wind Farm",Windridge,"Definition:Commercial Scale Wind",,Windridge,"Southern California Edison Co","Tehachapi CA","2.34 MW",36,,Windmatic,"In Service","35.07665°, -118.25529°"
Windstar,Windstar,Windstar,"Definition:Commercial Scale Wind","Western Wind Energy Corp","Western Wind Energy Corp","Southern California Edison Co","Mojave CA","120 MW",60,2012,Gamesa,"In Service","34.99931226°, -118.2912111°"
"Windway Technologies Wind Farm","Windway Technologies Wind Farm","Windway Technologies","Definition:Commercial Scale Wind","Northwood-Kensett School","Windway Technologies","Alliant/IES Utilities","Joice IA","0.25 MW",1,1998,Nordex,"In Service","43.3629°, -93.4559°"
"Windy Dog I","Windy Dog I","Windy Dog I","Definition:Commercial Scale Wind","Windy Dog I LLC",,"Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.285°, -96.4342°"
"Windy Flats","Windy Flats","Windy Flats","Definition:Commercial Scale Wind","Cannon Power Group","Cannon Power Group",,"North shore of Columbia River","172.5 MW",74,2009,Siemens,"In Service","45.699622°, -120.774622°"
"Windy Flats IIa extension","Windy Flats IIa extension","Windy Flats IIa extension","Definition:Commercial Scale Wind","Cannon Power Group","Cannon Power Group",,"North shore of Columbia River","59.8 MW",26,2009,Siemens,"In Service","45.699622°, -120.774622°"
"Windy Flats Phase III","Windy Flats Phase III","Windy Flats Phase III","Definition:Commercial Scale Wind","Cannon Power Group","Cannon Power Group",,"Goldendale WA","100 MW",,,TBD,Proposed,"45.76201437°, -120.5455971°"
"Windy Flats(3Q09 portion)","Windy Flats(3Q09 portion)","Windy Flats(3Q09 portion)","Definition:Commercial Scale Wind","Cannon Power Group","Cannon Power Group",,"North shore of Columbia River","29.9 MW",13,2009,Siemens,"In Service","45.699622°, -120.774622°"
"Windy Point (08) Wind Farm","Windy Point (08) Wind Farm","Windy Point (08)","Definition:Commercial Scale Wind",Cannon,Cannon,"Puget Sound Energy",,"8 MW",4,2008,REPower,"In Service","45.822958°, -120.819003°"
"Windy Point - REpower (09) Wind Farm","Windy Point - REpower (09) Wind Farm","Windy Point - REpower (09)","Definition:Commercial Scale Wind","Cannon/Tuolumne Wind Project Authority","Cannon/Tuolumne Wind Project Authority","Turlock Irrigation District and Walnut Energy Center Authority","North shore of Columbia River","40 MW",20,2009,REpower,"In Service","45.699622°, -120.774622°"
"Windy Point - Siemens Wind Farm","Windy Point - Siemens Wind Farm","Windy Point - Siemens","Definition:Commercial Scale Wind","Cannon/Tuolumne Wind Project Authority","Cannon/Tuolumne Wind Project Authority","Turlock Irrigation District and Walnut Energy Center Authority","North shore of Columbia River","96.6 MW",42,2009,Siemens,"In Service","45.699622°, -120.774622°"
"Wing River Wind Farm","Wing River Wind Farm","Wing River Wind","Definition:Commercial Scale Wind","Wing River Wind Farm","Wing River Wind Farm",,"Hewitt MN","2.5 MW",1,2007,Nordex,"In Service","46.3254°, -95.0864°"
"Winnebago I Wind Farm","Winnebago I Wind Farm","Winnebago I","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Dairyland Power","Winnebago County IA","20 MW",10,2008,Gamesa,"In Service","43.317944°, -93.761537°"
"Winona County Wind","Winona County Wind","Winona County Wind","Definition:Commercial Scale Wind","Juhl Wind","Juhl Wind","NSP/Xcel Energy","3 miles northwest of Altura MN","1.5 MW",2,2011,Unison,"In Service","44.101281°, -91.975715°"
"Wiota Wind","Wiota Wind","Wiota Wind","Definition:Community Wind","Wiota Wind Energy LLC",,"Farmers Electric Cooperative",,"1.6 MW",1,2012,"GE Energy","In Service","41.39149137°, -94.87689972°"
"Wolf Ridge Wind Farm","Wolf Ridge Wind Farm","Wolf Ridge","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Cooke County TX","112.5 MW",75,2008,"GE Energy","In Service","33.72911°, -97.393545°"
"Wolf Wind Farm","Wolf Wind Farm","Wolf Wind Farm","Definition:Commercial Scale Wind","Ryan Wolf et al/John Deere Wind Energy","Ryan Wolf et al/John Deere Wind Energy","Central Minnesota Municipal Power Agency","Nobles County MN","6.25 MW",5,2006,"Suzlon Energy Company","In Service","43.583385°, -95.774567°"
